date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.07.2009,Курганская область,316,4,4,20,80,332
01.07.2009,Курская область,313,4,2,22,147,271
01.07.2009,Ленинградская область,371,4,4,32,272,227
01.07.2009,Липецкая область,319,4,2,25,115,274
01.07.2009,Магаданская область,68,6,2,13,31,417
01.07.2009,г. Москва и Московская область,6 479,17,545,267,3 756,376
01.07.2009,Мурманская область,228,3,4,26,150,271
01.07.2009,Нижегородская область,1 191,17,17,116,424,357
01.07.2009,Новгородская область,181,3,2,18,130,280
01.07.2009,Новосибирская область,759,10,13,73,430,288
01.07.2009,Омская область,701,9,6,48,198,348
01.07.2009,Оренбургская область,853,15,9,49,274,404
01.07.2009,Орловская область,219,4,2,21,81,268
01.07.2009,Пензенская область,600,6,2,33,147,435
01.07.2009,Пермский край,818,11,6,75,381,302
01.07.2009,Приморский край,487,15,8,43,337,245
01.07.2009,Псковская область,186,4,3,12,122,267
01.07.2009,Республика Адыгея (Адыгея),94,2,5,6,75,212
01.07.2009,Республика Алтай,61,7,5,4,32,292
01.07.2009,Республика Башкортостан,1 260,10,10,61,623,311
01.07.2009,Республика Бурятия,276,13,1,21,201,287
01.07.2009,Республика Дагестан,260,9,32,71,136,96
01.07.2009,Республика Ингушетия,21,2,2,4,13,41
01.07.2009,Республика Калмыкия,49,1,2,3,38,173
01.07.2009,Республика Карелия,186,12,1,22,108,271
01.07.2009,Республика Коми,297,14,3,40,127,310
01.07.2009,Республика Марий Эл,161,6,1,20,50,230
01.07.2009,Республика Мордовия,312,2,4,12,128,375
01.07.2009,Республика Саха (Якутия),336,20,5,39,140,354
01.07.2009,Республика Северная Осетия-Алания,86,3,6,11,53,123
01.07.2009,Республика Татарстан (Татарстан),1 702,14,26,96,548,452
01.07.2009,Республика Тыва,53,3,2,4,39,169
01.07.2009,Республика Хакасия,180,4,3,8,95,335
01.07.2009,Ростовская область,1 263,14,22,105,873,298
01.07.2009,Рязанская область,292,4,4,26,115,252
01.07.2009,Самарская область,985,9,20,95,432,311
01.07.2009,г. Санкт-Петербург,1 540,3,42,144,1 029,336
01.07.2009,Саратовская область,952,12,11,69,226,370
01.07.2009,Сахалинская область,151,11,5,14,77,293
01.07.2009,Свердловская область,1 166,12,23,96,732,265
01.07.2009,Смоленская область,260,6,4,29,104,267
01.07.2009,Ставропольский край,598,9,8,60,420,221
01.07.2009,Тамбовская область,333,3,1,19,98,304
01.07.2009,Тверская область,369,13,8,36,125,269
01.07.2009,Томская область,286,9,4,35,154,275
01.07.2009,Тульская область,371,6,5,35,195,239
01.07.2009,Тюменская область,1 324,22,18,147,537,390
01.07.2009,Удмуртская Республика,390,6,8,33,203,255
01.07.2009,Ульяновская область,435,4,4,30,195,333
01.07.2009,Хабаровский край,352,4,5,33,250,251
01.07.2009,Челябинская область,858,10,11,108,453,245
01.07.2009,Чеченская Республика,3,0,0,3,0,2
01.07.2009,Читинская область,308,17,1,19,244,276
01.07.2009,Чувашская Республика - Чувашия,356,3,5,25,100,278
01.07.2009,Чукотский авт. округ,34,8,0,7,10,687
01.07.2009,Ярославская область,389,5,8,39,199,297
01.04.2009,Алтайский край,973,13,8,56,313,390
01.04.2009,Амурская область,238,4,4,16,165,275
01.04.2009,Архангельская область,311,14,3,33,152,246
01.04.2009,Астраханская область,272,4,4,30,113,271
01.04.2009,Белгородская область,468,5,6,33,139,307
01.04.2009,Брянская область,311,4,1,30,80,239
01.04.2009,Владимирская область,422,7,3,29,160,293
01.04.2009,Волгоградская область,721,9,5,72,259,277
01.04.2009,Вологодская область,404,7,9,32,193,332
01.04.2009,Воронежская область,669,6,5,59,213,295
01.04.2009,Еврейская авт. область,47,2,0,6,17,253
01.04.2009,Ивановская область,276,4,6,19,122,257
01.04.2009,Иркутская область,611,17,9,52,429,244
01.04.2009,Кабардино-Балкарская Республика,154,3,6,12,74,173
01.04.2009,Калининградская область,289,2,7,37,151,308
01.04.2009,Калужская область,295,3,5,30,141,294
01.04.2009,Камчатский край,120,13,6,12,71,349
01.04.2009,Карачаево-Черкесская Республика,48,2,5,4,35,112
01.04.2009,Кемеровская область,581,8,8,38,330,206
01.04.2009,Кировская область,440,8,3,29,170,314
01.04.2009,Костромская область,230,6,4,15,107,332
01.04.2009,Краснодарский край,1 497,20,16,108,1 111,291
01.04.2009,Красноярский край,917,22,6,68,470,317
01.04.2009,Курганская область,316,4,4,20,80,332
