date,region,number_of_new_remote_accounts,"юридическим лицам, не являющимся кредитными организациями, всего","с доступом через сеть Интернет
",number_of_new_remote_accounts_individuals,number_of_new_remote_accounts_individuals_with_internet,number_of_new_remote_accounts_individuals_with_sms
01.01.2010,г. Москва и Московская область,"14 623,6","489,4","356,1","14 134,2","3 291,6","656,1"
01.01.2010,Мурманская область,"64,5","8,3","5,5","56,2","3,2","0,9"
01.01.2010,Нижегородская область,"442,6","39,3","27,8","403,3","50,1",45
01.01.2010,Новгородская область,"78,3","5,5","2,6","72,8","2,2",0
01.01.2010,Новосибирская область,"840,4","74,6",41,"765,8","45,6","43,8"
01.01.2010,Омская область,"481,5","21,6","10,9",460,"16,6","139,2"
01.01.2010,Оренбургская область,959,"8,1","5,1","950,9","5,3","95,6"
01.01.2010,Орловская область,"139,4","3,4","2,2",136,"36,8","0,8"
01.01.2010,Пензенская область,144,"6,9","3,6","137,2","1,6","0,2"
01.01.2010,Пермский край,"1 248,2","38,2","26,2","1 210,0","55,5",2
01.01.2010,Приморский край,"428,2","21,7","14,8","406,5","5,2","18,4"
01.01.2010,Псковская область,95,"3,9","3,2","91,1","2,8",0
01.01.2010,Республика Адыгея (Адыгея),"50,8","0,8","0,2",50,0,"1,1"
01.01.2010,Республика Алтай,"13,8","0,5","0,3","13,3",0,10
01.01.2010,Республика Башкортостан,"341,3","36,9","25,1","304,5","116,8","50,2"
01.01.2010,Республика Бурятия,"205,2","5,9","4,3","199,3","3,7","43,2"
01.01.2010,Республика Дагестан,"138,2",1,"0,4","137,2",0,"52,4"
01.01.2010,Республика Ингушетия,"14,5","0,1",0,"14,5",0,"10,1"
01.01.2010,Республика Калмыкия,"37,1","0,5","0,2","36,6","0,6","13,1"
01.01.2010,Республика Карелия,"61,2","6,3",3,"54,9",6,0
01.01.2010,Республика Коми,"350,4","9,7","5,3","340,7","0,4","16,6"
01.01.2010,Республика Марий Эл,"13,9","3,8","2,6","10,1","0,2",0
01.01.2010,Республика Мордовия,175,"3,6","0,8","171,4","0,5","27,9"
01.01.2010,Республика Саха (Якутия),"358,7","3,6","1,3","355,1",1,"6,2"
01.01.2010,Республика Северная Осетия-Алания,"15,7","0,8","0,6","14,9","0,3","0,2"
01.01.2010,Республика Татарстан (Татарстан),"1 683,6","43,8","27,1","1 639,8",28,"3,4"
01.01.2010,Республика Тыва,"6,5","0,5","0,3",6,"0,9","5,1"
01.01.2010,Республика Хакасия,"55,9","3,3",1,"52,6","0,7","2,5"
01.01.2010,Ростовская область,"1 194,8","33,7","16,6","1 161,1","43,1","63,3"
01.01.2010,Рязанская область,"319,6","11,7","3,9","307,9","26,4","22,3"
01.01.2010,Самарская область,"1 122,1","33,9","15,8","1 088,2","353,8","20,9"
01.01.2010,г. Санкт-Петербург,"2 833,7","184,8","142,2","2 648,9","451,1","53,2"
01.01.2010,Саратовская область,"444,9","12,6","4,8","432,4","52,5",8
01.01.2010,Сахалинская область,"127,2","4,1",3,123,"0,4","51,8"
01.01.2010,Свердловская область,"1 606,4","114,7","87,8","1 491,7","198,7","53,6"
01.01.2010,Смоленская область,"162,5","5,8","2,1","156,7","1,3",13
01.01.2010,Ставропольский край,"625,9","14,6",5,"611,3","6,5","15,2"
01.01.2010,Тамбовская область,"133,4","2,8","0,8","130,6","0,7","112,2"
01.01.2010,Тверская область,67,"9,6","5,4","57,4","2,6",0
01.01.2010,Томская область,182,"14,7","6,6","167,3","10,1","41,8"
01.01.2010,Тульская область,"152,5",10,"5,7","142,5","2,7","20,4"
01.01.2010,Тюменская область,"1 389,0","34,1","15,9","1 355,0",34,"178,7"
01.01.2010,Удмуртская Республика,"98,3","18,6","10,4","79,7","55,6","1,5"
01.01.2010,Ульяновская область,"275,6","6,8","3,4","268,9","0,4","49,1"
01.01.2010,Хабаровский край,"1 065,5","25,6","6,3","1 039,9","109,1","48,3"
01.01.2010,Челябинская область,"796,9","47,6","19,8","749,3","64,7","550,6"
01.01.2010,Чеченская Республика,"17,9","0,4","0,1","17,5",0,0
01.01.2010,Чувашская Республика - Чувашия,"303,4",7,"3,4","296,5",0,0
01.01.2010,Чукотский автономный округ,"2,7","0,1","0,1","2,6","0,3","2,2"
01.01.2010,Ярославская область,"363,9","14,7","6,4","349,2","9,8",56
01.10.2011,Алтайский край,763,"22,1","15,8","740,9","197,2","580,1"
01.10.2011,Амурская область,"367,3","7,7","4,3","359,5","150,1","65,7"
01.10.2011,Архангельская область,"421,6","12,4","7,8","409,2","45,1","276,1"
01.10.2011,Астраханская область,"644,4","7,2","4,3","637,2","7,9","128,4"
01.10.2011,Белгородская область,"947,5",14,"5,4","933,5","140,7","185,6"
01.10.2011,Брянская область,"687,2","6,6","5,3","680,6","16,8","233,8"
01.10.2011,Владимирская область,"363,8","16,4","8,9","347,4","37,2","119,7"
01.10.2011,Волгоградская область,773,"21,4","15,9","751,5","74,9","193,6"
01.10.2011,Вологодская область,"323,4",16,"6,9","307,4","65,3","90,4"
01.10.2011,Воронежская область,"1231,1","31,1","19,9","1 200,0","55,3",154
01.10.2011,Еврейская автономная область,37,"0,8","0,7","36,3",16,"27,3"
01.10.2011,Забайкальский край,"308,2","4,6","3,8","303,5","55,2","201,8"
01.10.2011,Ивановская область,"136,3","9,4","5,4","126,9","16,1","58,6"
01.10.2011,Иркутская область,1230,"21,6","16,9","1 208,4","536,5","47,8"
01.10.2011,Кабардино-Балкарская Республика,"177,2","2,5","1,9","174,7","101,6","0,1"
01.10.2011,Калининградская область,"94,1","19,9","15,5","74,3","5,6","0,8"
